country, Crude_Imports_2022 , Product_Import_2022 , Crude_Exports_2022 , Product_Exports_2022 , Crude_Imports_2023 , Product_Import_2023 , Crude_Exports_2023 , Product_Exports_2023 
Canada,518.4366615,621.6662218,3993.939893,684.8479053,502.6953036,570.7076629,4160.753119,675.3670115
Mexico,0.684430391,1230.316534,991.5866985,181.5098429,0.028095732,1228.971573,1079.780751,191.5068912
US,6281.296137,2059.693116,3240.182047,5308.373032,6501.688942,2037.654089,3715.504977,5392.954009
S. & Cent. America,480.4878573,2376.627944,2244.518527,598.662214,416.3201591,2212.889481,2834.715788,582.4320296
Europe ,9816.752329,4310.898804,396.3224271,2243.361679,8767.719977,4043.11662,243.3467581,2096.997962
Russian Federation,36.59371417,35.5478831,5274.826429,2546.305174,153.712016,27.50993039,4835.010444,1900.533188
Other CIS,324.6863751,159.7610401,1811.892951,257.4461265,361.1309895,188.7355941,1836.279905,333.30152
Iraq,0.012499955,224.8119109,3837.999991,348.0372006,0.053248805,197.792123,3698.532229,414.4634789
Kuwait,6.079639835,6.719983988,1928.061876,594.5785672,8.816866526,6.477627447,1629.411273,782.5957598
Saudi Arabia,34.70636268,165.6060419,7386.352942,1380.622438,56.15641608,131.4722697,7011.584183,1270.222966
United Arab Emirates,150.4924621,625.1049019,3583.574249,1883.751109,106.2935286,629.9339652,3428.984419,1933.637682
Other Middle East,303.927021,526.9243021,1873.935716,1295.724479,294.131033,490.3241247,1806.465471,1323.933728
North Africa,179.636577,731.6353358,1536.745737,524.6391789,73.10969247,733.8207746,1518.697756,506.5940546
West Africa,25.31296397,1048.302575,3440.238595,139.4004968,28.90650802,975.3814345,3184.494828,100.2938962
East & S. Africa,136.6888734,1146.48573,35.06511433,41.46632922,147.3807491,1071.936245,64.58128805,27.34104323
Australasia,208.8484728,940.5872032,225.0110779,93.25831209,168.2128462,1148.479382,201.7617667,102.5555991
China,10206.42355,1936.975195,33.29312129,1135.498242,11325.19949,2391.334371,23.78241498,1284.790307
India,4642.30446,1110.639612,43.42858176,1825.883502,4639.983181,1129.795059,38.09708549,1950.598497
Japan,2661.120155,804.0384263,8.56244637,340.1640394,2520.904288,811.2632733,0.000320474,260.7436651
Singapore,887.7945007,1513.971028,5.973729182,1523.358465,849.294598,1508.79919,39.52318294,1631.230648
Other Asia Pacific,5977.037368,3941.823331,987.8102637,2571.248788,5794.113338,3871.790242,1364.54331,2646.091096
